Frequency,key size,data self life,migration,vendor supply time,Algo,App_type,Application,Data Sensisitivity,arch flexibility,data trans(algo),is third party quantum safe,third party used,vendor pqc compliant
94152,0,7,1,6,AES,MIX,D,HIGH,NO,RSA,NO,YES,NO
2451,1024,9,3,9,RSA,MIX,B,LOW,NO,RSA,NO,YES,NO
4497,0,7,2,6,AES,STANDALONE,B,LOW,,RSA,,YES,NO
38840,338,7,3,9,AES,MIX,B,MEDIUM,,RSA,YES,YES,NO
98648,1403,8,2,12,RSA,STANDALONE,B,MEDIUM,YES,RSA,NO,YES,
931367,41,9,2,6,ECDHE,web,A,LOW,NO,RSA,YES,YES,YES
9974079,293,7,2,9,RSA,web,B,MEDIUM,YES,RSA,YES,YES,NO
4211700,0,9,1,6,ECDHE,MIX,B,HIGH,NO,RSA,NO,NO,YES
123458,2048,8,2,6,ECDHE,web,D,HIGH,NO,RSA,,NO,NO
966,2048,9,3,9,RSA,MIX,B,MEDIUM,NO,RSA,YES,YES,NO
502464,0,9,2,6,ECDHE,MIX,B,HIGH,YES,RSA,NO,NO,
88751,277,9,2,9,RSA,MIX,D,HIGH,NO,RSA,NO,YES,
123475,2048,7,1,9,RSA,web,A,HIGH,YES,RSA,,NO,YES
123468,820,8,2,1,RSA,web,D,HIGH,NO,RSA,,NO,NO
4488,0,8,2,11,ECDHE,STANDALONE,B,HIGH,,RSA,NO,YES,YES
32476,1024,9,1,6,RSA,MIX,A,HIGH,NO,RSA,,NO,YES
12,256,10,3,9,RSA,MIX,B,MEDIUM,YES,RSA,NO,YES,
818,2048,10,3,1,AES,web,A,LOW,YES,RSA,,YES,YES
123466,578,7,2,1,AES,web,D,HIGH,,RSA,,NO,NO
907190,0,7,3,12,RSA,MIX,C,MEDIUM,YES,RSA,YES,YES,NO
123471,1723,8,1,9,RSA,web,D,HIGH,,RSA,,NO,NO
100582,0,8,2,12,ECDHE,MIX,B,MEDIUM,NO,RSA,NO,YES,NO
597734,316,7,2,6,RSA,web,D,HIGH,,RSA,NO,YES,NO
120139,256,10,3,9,ECDHE,STANDALONE,B,LOW,YES,RSA,NO,NO,YES
12,0,8,2,6,AES,MIX,D,LOW,NO,RSA,,YES,NO
782336,0,8,3,12,DES,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
402086,1935,9,2,9,DES,web,A,MEDIUM,YES,RSA,NO,NO,NO
975051,150,9,1,6,ECDHE,MIX,A,HIGH,NO,RSA,,NO,YES
4526,1484,9,3,10,ECDHE,MIX,A,MEDIUM,YES,RSA,NO,YES,YES
23706,256,8,2,9,RSA,STANDALONE,C,LOW,YES,RSA,NO,YES,YES
91831,1063,9,2,9,RSA,web,B,HIGH,YES,RSA,,YES,
120572,0,7,3,10,ECDHE,STANDALONE,C,MEDIUM,YES,RSA,NO,YES,
930308,0,7,2,6,ECDHE,web,D,HIGH,,RSA,YES,NO,NO
527282,0,7,3,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,NO,YES,
1436,1712,10,1,10,RSA,MIX,A,LOW,YES,RSA,NO,NO,YES
30743,0,7,3,6,DES,STANDALONE,D,MEDIUM,,RSA,YES,NO,NO
104835,0,9,3,6,ECDHE,STANDALONE,C,HIGH,YES,RSA,NO,YES,NO
2848,0,9,2,6,ECDHE,web,B,LOW,YES,RSA,NO,YES,NO
1683,256,8,2,6,AES,MIX,B,HIGH,NO,RSA,NO,YES,NO
2236447,2048,9,3,9,RSA,web,D,MEDIUM,YES,RSA,,YES,
123478,140,7,2,9,AES,web,D,HIGH,YES,RSA,YES,YES,NO
92497,112,8,2,9,DES,STANDALONE,B,LOW,YES,RSA,NO,YES,NO
6838,0,9,3,6,RSA,MIX,C,LOW,NO,RSA,,YES,NO
606,2319,7,2,1,RSA,web,D,HIGH,NO,RSA,,NO,NO
180389,1782,9,2,10,RSA,web,D,MEDIUM,YES,RSA,YES,YES,
956900,0,7,3,6,ECDHE,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,NO
123468,2428,9,2,8,RSA,web,C,LOW,YES,RSA,NO,NO,YES
12,0,9,1,6,AES,MIX,B,LOW,NO,RSA,,NO,YES
115980,0,10,2,9,ECDHE,web,B,HIGH,NO,RSA,,YES,YES
945524,1024,8,3,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
123459,0,9,3,12,ECDHE,STANDALONE,B,MEDIUM,,RSA,YES,YES,
2001,2048,8,2,9,AES,web,A,HIGH,YES,RSA,,NO,
123464,948,8,2,1,RSA,web,A,HIGH,NO,RSA,,NO,NO
3366,0,8,2,1,DES,web,B,HIGH,YES,RSA,,NO,NO
99079,0,8,2,6,ECDHE,web,D,LOW,NO,RSA,,YES,NO
487,0,8,3,6,RSA,MIX,D,LOW,NO,RSA,NO,YES,NO
8863,256,9,3,12,ECDHE,MIX,C,MEDIUM,YES,RSA,YES,YES,
4008,2048,9,1,9,RSA,web,A,HIGH,NO,RSA,,NO,NO
107920,0,8,2,12,ECDHE,STANDALONE,B,LOW,YES,RSA,YES,YES,
107825,2048,8,2,6,RSA,STANDALONE,A,LOW,YES,RSA,,YES,NO
99961,0,9,3,12,ECDHE,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,NO
16237,4096,8,3,6,RSA,web,D,HIGH,YES,RSA,,NO,
576,166,9,2,1,RSA,web,A,HIGH,YES,RSA,,NO,YES
8306,58,9,2,6,AES,web,A,HIGH,NO,RSA,,NO,NO
2713,92,8,3,1,DES,MIX,B,HIGH,YES,RSA,,YES,NO
1095,2326,8,2,6,RSA,web,D,HIGH,,RSA,,NO,
6765,722,8,2,1,AES,web,D,HIGH,,RSA,,NO,NO
5708296,1024,9,1,12,RSA,web,B,HIGH,YES,RSA,NO,NO,YES
4354,0,10,1,9,RSA,web,B,LOW,NO,RSA,NO,NO,NO
14587,117,9,1,2,AES,web,A,HIGH,,RSA,,NO,NO
123465,517,7,3,12,DES,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,NO
95521,1024,9,1,1,AES,web,A,HIGH,,RSA,,NO,YES
17916,0,10,2,9,DES,web,B,HIGH,YES,RSA,NO,YES,
121800,0,9,2,6,ECDHE,web,D,HIGH,YES,RSA,NO,YES,NO
3636,843,8,2,8,RSA,web,B,LOW,NO,RSA,YES,YES,NO
123458,0,10,3,9,DES,MIX,C,MEDIUM,YES,RSA,NO,YES,NO
796786,0,8,2,4,RSA,web,A,HIGH,NO,RSA,,NO,YES
123470,0,8,2,12,ECDHE,MIX,B,MEDIUM,NO,RSA,YES,YES,
3520,2048,9,2,9,RSA,web,A,HIGH,YES,RSA,NO,YES,YES
36187,37,9,2,9,AES,MIX,B,LOW,NO,RSA,,YES,
90122,95,10,2,6,DES,MIX,B,HIGH,YES,RSA,NO,NO,NO
5881,2048,7,3,4,RSA,MIX,B,MEDIUM,,RSA,,NO,
584718,256,10,3,5,RSA,web,B,LOW,YES,RSA,,NO,YES
96131,2074,8,2,1,AES,web,D,HIGH,YES,RSA,,NO,YES
9883690,0,9,2,9,ECDHE,web,D,LOW,YES,RSA,,NO,
955,0,9,1,1,AES,MIX,B,HIGH,,RSA,NO,NO,NO
93695,810,7,1,1,AES,web,A,HIGH,,RSA,,NO,NO
99151,0,8,2,9,ECDHE,MIX,B,LOW,NO,RSA,NO,YES,NO
2109,216,7,2,9,RSA,STANDALONE,B,MEDIUM,NO,RSA,NO,YES,NO
123457,0,9,3,12,ECDHE,STANDALONE,C,MEDIUM,,RSA,YES,YES,YES
2177,294,10,2,10,RSA,MIX,A,LOW,YES,RSA,,YES,NO
8843,0,10,2,6,ECDHE,web,B,HIGH,NO,RSA,NO,YES,
4854674,141,7,3,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
5896,2048,8,2,6,RSA,STANDALONE,D,LOW,NO,RSA,NO,NO,NO
1192,2048,8,3,1,AES,MIX,D,HIGH,YES,RSA,,YES,NO
123467,256,9,3,11,RSA,STANDALONE,D,LOW,YES,RSA,YES,YES,NO
8310,1496,10,2,6,RSA,web,A,HIGH,YES,RSA,,NO,YES
611588,256,10,2,6,AES,web,B,HIGH,NO,RSA,NO,NO,YES
1827,2048,10,1,6,ECDHE,web,A,HIGH,YES,RSA,,NO,YES
99686,0,7,2,9,DES,STANDALONE,B,LOW,NO,RSA,,YES,NO
114887,256,10,2,1,ECDHE,web,A,HIGH,YES,RSA,,NO,YES
31474,45,9,2,10,RSA,MIX,B,LOW,YES,RSA,YES,YES,
1017,256,10,1,6,AES,MIX,B,LOW,NO,RSA,,NO,YES
936448,0,9,1,6,ECDHE,MIX,A,HIGH,NO,RSA,,NO,NO
95848,136,10,1,11,ECDHE,web,D,LOW,YES,RSA,NO,YES,NO
550308,129,9,1,6,RSA,web,A,HIGH,YES,RSA,,NO,NO
880545,4096,10,3,6,RSA,web,C,HIGH,YES,RSA,,NO,
123465,0,7,3,9,ECDHE,STANDALONE,B,MEDIUM,,RSA,YES,YES,
1796,0,9,1,6,AES,web,A,HIGH,NO,RSA,,NO,NO
2747,2048,10,1,6,DES,web,A,HIGH,YES,RSA,,NO,YES
9881835,333,8,3,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,NO,
123469,63,9,2,6,ECDHE,web,A,HIGH,YES,RSA,,NO,YES
99409,1024,7,3,9,AES,MIX,B,MEDIUM,,RSA,,NO,NO
82533,0,10,2,12,RSA,MIX,A,HIGH,YES,RSA,,YES,NO
3028,0,10,2,9,ECDHE,MIX,A,LOW,YES,RSA,NO,YES,
119321,0,9,1,1,ECDHE,web,D,HIGH,,RSA,,NO,NO
98581,265,8,1,6,DES,web,B,HIGH,YES,RSA,,NO,NO
114561,256,9,2,9,ECDHE,STANDALONE,A,LOW,YES,RSA,,YES,
123459,1024,9,2,6,ECDHE,web,D,HIGH,YES,RSA,,YES,NO
99812,1577,7,3,6,DES,STANDALONE,D,HIGH,,RSA,,YES,NO
123469,256,8,2,10,RSA,STANDALONE,B,MEDIUM,YES,RSA,YES,YES,NO
99895,119,10,2,1,RSA,web,A,HIGH,,RSA,NO,NO,YES
73515,0,9,2,12,ECDHE,MIX,C,LOW,YES,RSA,YES,YES,
9935,1375,10,2,6,ECDHE,web,A,HIGH,NO,RSA,,NO,YES
644752,1375,8,2,6,RSA,web,A,HIGH,YES,RSA,,NO,YES
853027,0,8,3,6,AES,web,C,HIGH,,RSA,NO,YES,
88027,0,8,2,11,ECDHE,MIX,B,MEDIUM,YES,RSA,YES,YES,
10000000,0,10,2,9,DES,MIX,D,MEDIUM,YES,RSA,,YES,
3125,256,9,1,6,ECDHE,MIX,B,LOW,YES,RSA,,NO,YES
2098145,1321,8,2,1,RSA,web,D,HIGH,YES,RSA,,NO,
279891,0,10,2,9,AES,MIX,D,MEDIUM,YES,RSA,,YES,YES
2548,256,9,3,10,RSA,MIX,B,LOW,YES,RSA,,YES,
6629,0,7,1,1,AES,MIX,B,HIGH,NO,RSA,,YES,NO
84617,43,9,2,8,AES,web,B,HIGH,NO,RSA,,NO,YES
123471,1735,10,2,12,RSA,MIX,C,LOW,YES,RSA,YES,YES,NO
123460,0,8,2,6,DES,web,B,HIGH,YES,RSA,NO,YES,NO
99202,338,8,1,1,AES,web,A,HIGH,,RSA,,NO,YES
21353,180,10,2,1,AES,web,B,HIGH,,RSA,,NO,YES
99587,780,10,1,12,DES,web,B,HIGH,YES,RSA,YES,YES,YES
2500,2048,10,1,7,RSA,web,B,HIGH,YES,RSA,,NO,YES
123461,1080,9,2,2,RSA,web,B,MEDIUM,YES,RSA,,YES,NO
20633,1659,9,2,8,RSA,web,A,HIGH,YES,RSA,NO,NO,NO
123459,1024,8,3,1,RSA,STANDALONE,D,HIGH,,RSA,,NO,NO
9460814,355,9,2,9,ECDHE,STANDALONE,B,MEDIUM,,RSA,,YES,
3188,570,9,1,6,RSA,web,A,HIGH,YES,RSA,,NO,NO
457,2048,10,2,12,RSA,MIX,B,HIGH,NO,RSA,NO,YES,YES
113598,1024,9,1,6,RSA,web,A,HIGH,YES,RSA,YES,NO,NO
49618,256,8,2,6,AES,web,C,HIGH,NO,RSA,NO,NO,NO
506,0,8,3,6,AES,MIX,B,LOW,NO,RSA,NO,YES,NO
87994,256,8,3,9,RSA,STANDALONE,C,MEDIUM,NO,RSA,YES,YES,
293017,0,7,2,1,AES,STANDALONE,D,HIGH,,RSA,,NO,NO
67817,0,9,3,12,ECDHE,STANDALONE,C,MEDIUM,NO,RSA,YES,YES,
985565,0,8,3,12,ECDHE,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
9891159,1024,8,2,9,RSA,STANDALONE,C,HIGH,YES,RSA,YES,NO,
2935674,0,8,3,9,DES,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,NO
39742,1669,9,1,6,ECDHE,MIX,A,HIGH,,RSA,,NO,YES
5781,1471,10,1,7,ECDHE,web,B,HIGH,NO,RSA,NO,YES,YES
336489,0,8,3,9,RSA,MIX,C,HIGH,YES,RSA,YES,YES,NO
9949729,360,10,2,12,ECDHE,STANDALONE,C,LOW,YES,RSA,YES,YES,
2358,590,10,3,6,DES,MIX,A,LOW,YES,RSA,,NO,NO
98958,2048,8,3,12,ECDHE,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
576194,236,8,2,1,RSA,web,A,HIGH,NO,RSA,,NO,NO
102073,1679,9,1,6,RSA,web,A,HIGH,NO,RSA,,NO,NO
112919,1024,9,2,12,ECDHE,STANDALONE,C,MEDIUM,YES,RSA,,YES,YES
882138,0,8,2,9,ECDHE,MIX,C,MEDIUM,NO,RSA,YES,YES,
816,0,9,1,9,ECDHE,MIX,B,LOW,NO,RSA,NO,NO,NO
95892,2048,10,3,9,RSA,STANDALONE,B,MEDIUM,YES,RSA,,YES,YES
95840,2048,9,2,1,RSA,web,A,HIGH,YES,RSA,,NO,YES
9921578,255,9,2,6,AES,STANDALONE,A,MEDIUM,YES,RSA,,NO,
2780,20,9,2,6,AES,web,A,LOW,NO,RSA,,NO,NO
104189,0,9,2,9,ECDHE,MIX,C,LOW,YES,RSA,NO,YES,YES
8661,2048,9,1,1,AES,web,A,HIGH,YES,RSA,,NO,YES
93636,0,9,2,8,AES,MIX,B,HIGH,NO,RSA,NO,YES,NO
5752,2048,10,2,12,RSA,STANDALONE,B,LOW,YES,RSA,NO,YES,YES
704900,0,10,1,12,ECDHE,web,A,LOW,YES,RSA,,YES,
1017,1024,8,2,9,RSA,STANDALONE,B,LOW,NO,RSA,YES,YES,NO
867,1024,10,2,10,ECDHE,MIX,C,LOW,NO,RSA,NO,YES,YES
94088,0,10,2,12,ECDHE,MIX,A,LOW,YES,RSA,NO,YES,YES
9863,0,7,3,12,ECDHE,STANDALONE,C,MEDIUM,NO,RSA,YES,YES,
5252551,1024,7,2,9,RSA,STANDALONE,C,HIGH,YES,RSA,NO,YES,
12,256,9,1,6,AES,web,B,HIGH,NO,RSA,,NO,NO
5393,173,8,3,12,ECDHE,STANDALONE,C,LOW,NO,RSA,YES,YES,
7447,2590,9,1,9,AES,web,A,HIGH,YES,RSA,,NO,YES
979332,0,8,3,12,ECDHE,STANDALONE,C,LOW,YES,RSA,YES,YES,
123463,93,10,1,1,RSA,web,A,HIGH,NO,RSA,,NO,YES
106988,42,8,3,6,DES,STANDALONE,B,MEDIUM,YES,RSA,YES,YES,NO
3515,2048,10,1,2,DES,web,A,HIGH,YES,RSA,,NO,YES
239338,2048,8,2,9,RSA,web,C,HIGH,YES,RSA,,NO,YES
4958,1024,9,2,9,AES,MIX,A,HIGH,NO,RSA,YES,YES,NO
2139542,2336,9,2,6,DES,web,C,HIGH,YES,RSA,,NO,NO
99631,0,10,1,9,ECDHE,web,B,LOW,YES,RSA,NO,YES,
99758,99,7,3,9,ECDHE,STANDALONE,C,MEDIUM,YES,RSA,NO,NO,
99000,256,8,1,7,DES,web,D,HIGH,NO,RSA,NO,YES,NO
965,94,10,2,12,ECDHE,MIX,B,LOW,YES,RSA,NO,YES,
123470,2048,9,2,4,RSA,web,D,HIGH,YES,RSA,,YES,NO
982563,1462,8,3,1,RSA,web,D,HIGH,YES,RSA,,NO,
3927,1266,10,1,1,AES,web,A,LOW,YES,RSA,,NO,YES
2260,969,10,2,6,RSA,MIX,A,MEDIUM,NO,RSA,,NO,NO
7713,61,9,1,6,RSA,MIX,D,HIGH,YES,RSA,,NO,NO
9929763,3051,7,1,6,RSA,web,A,HIGH,,RSA,,NO,YES
9891783,0,7,2,1,AES,web,D,HIGH,YES,RSA,,NO,
910879,0,9,2,9,ECDHE,MIX,B,HIGH,YES,RSA,NO,YES,
977207,0,7,2,6,RSA,MIX,C,HIGH,YES,RSA,NO,YES,NO
3061,1024,8,3,12,DES,STANDALONE,C,MEDIUM,NO,RSA,NO,YES,NO
7310,4096,8,2,12,RSA,MIX,D,LOW,YES,RSA,NO,YES,
9895166,2048,9,2,9,ECDHE,STANDALONE,C,MEDIUM,YES,RSA,,NO,NO
96277,0,7,2,1,AES,web,D,HIGH,,RSA,,NO,NO
99362,365,7,2,9,AES,web,C,HIGH,YES,RSA,YES,NO,NO
9921133,1024,8,1,1,AES,web,D,HIGH,,RSA,,NO,NO
9213,1337,10,1,9,RSA,web,A,HIGH,YES,RSA,,YES,YES
2645,2048,10,3,11,RSA,MIX,B,LOW,YES,RSA,YES,YES,NO
1912,1024,7,2,6,RSA,web,B,LOW,,RSA,NO,NO,NO
123464,3266,7,2,6,RSA,web,D,MEDIUM,,RSA,,NO,YES
98840,256,8,1,6,RSA,web,D,HIGH,,RSA,,NO,NO
970735,2048,8,2,9,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,NO
87950,1024,8,3,9,AES,STANDALONE,C,MEDIUM,,RSA,YES,YES,NO
7306069,1775,9,3,9,RSA,STANDALONE,C,MEDIUM,YES,RSA,NO,NO,
113545,0,9,2,9,ECDHE,web,B,MEDIUM,YES,RSA,NO,YES,NO
123462,0,10,1,12,ECDHE,web,B,HIGH,YES,RSA,NO,YES,YES
1799,15,8,3,2,AES,MIX,D,HIGH,NO,RSA,,NO,NO
4479,0,10,3,6,AES,STANDALONE,C,LOW,,RSA,NO,YES,NO
99818,0,10,3,12,ECDHE,STANDALONE,C,MEDIUM,YES,RSA,NO,YES,
469,2048,7,2,5,RSA,web,A,HIGH,NO,RSA,,NO,NO
2324,0,7,1,9,AES,web,D,HIGH,NO,RSA,YES,NO,NO
123457,2136,7,2,12,RSA,STANDALONE,C,HIGH,,RSA,YES,YES,
108308,256,7,2,7,AES,web,D,LOW,NO,RSA,,NO,NO
100729,256,10,2,12,ECDHE,STANDALONE,A,MEDIUM,NO,RSA,NO,YES,
514500,256,8,3,12,RSA,MIX,B,MEDIUM,YES,RSA,NO,YES,
369805,0,9,2,9,ECDHE,STANDALONE,B,MEDIUM,YES,RSA,NO,YES,NO
34674,1676,8,3,9,RSA,STANDALONE,B,HIGH,NO,RSA,YES,NO,NO
123478,0,10,3,9,RSA,STANDALONE,B,MEDIUM,YES,RSA,YES,YES,YES
92597,55,9,2,6,ECDHE,STANDALONE,C,LOW,YES,RSA,YES,NO,
4482,0,7,3,9,ECDHE,web,D,LOW,NO,RSA,YES,YES,NO
1558,144,9,2,6,RSA,web,A,HIGH,YES,RSA,,NO,YES
91515,0,9,3,12,ECDHE,STANDALONE,C,MEDIUM,NO,RSA,YES,YES,
99981,0,8,3,12,ECDHE,STANDALONE,C,MEDIUM,NO,RSA,YES,YES,
477716,173,10,2,5,ECDHE,STANDALONE,A,HIGH,YES,RSA,,NO,NO
3972,0,7,2,2,RSA,web,B,LOW,,RSA,,NO,NO
2993,641,9,1,2,AES,MIX,A,HIGH,YES,RSA,,NO,NO
87713,256,9,2,7,DES,MIX,C,HIGH,,RSA,NO,NO,NO
282617,4096,8,2,1,RSA,web,D,HIGH,,RSA,,NO,NO
108935,0,9,1,6,AES,web,B,LOW,NO,RSA,,YES,NO
2041,0,10,1,12,ECDHE,MIX,A,LOW,NO,RSA,YES,YES,NO
133091,0,8,3,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
2017,0,10,2,9,AES,MIX,A,LOW,NO,RSA,NO,YES,NO
9938932,3255,9,3,9,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
48685,0,9,2,6,ECDHE,MIX,B,LOW,NO,RSA,YES,NO,NO
114442,171,7,2,6,AES,MIX,D,HIGH,,RSA,,YES,NO
9945934,2048,8,3,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,NO,YES,
4073,256,10,1,9,ECDHE,web,A,LOW,YES,RSA,,YES,YES
385481,206,8,2,7,ECDHE,STANDALONE,C,MEDIUM,YES,RSA,,YES,NO
97659,0,10,2,12,AES,STANDALONE,C,LOW,YES,RSA,NO,YES,
756600,88,7,3,7,AES,STANDALONE,C,MEDIUM,YES,RSA,YES,NO,
