Application,App_type,Algo,Frequency,key size,Data Sensisitivity,arch flexibility,third party used,is third party quantum safe,data trans(algo),data self life,migration,vendor pqc compliant,vendor supply time
B,MIX,ECDHE,3289494,0,MEDIUM,NO,YES,YES,RSA,8,3,,11
B,STANDALONE,AES,10309580,1273,MEDIUM,YES,YES,,RSA,10,2,,7
D,web,RSA,6987540,825,HIGH,NO,YES,,RSA,7,3,,4
B,MIX,DES,10031541,3651,MEDIUM,YES,YES,YES,RSA,9,3,,12
C,STANDALONE,DES,3338284,4096,LOW,YES,YES,YES,RSA,10,3,,12
B,web,RSA,6999420,1621,MEDIUM,YES,NO,YES,RSA,10,3,NO,9
B,STANDALONE,ECDHE,11504743,3334,HIGH,YES,YES,,RSA,10,2,YES,2
C,web,DES,12986904,0,LOW,NO,NO,,RSA,10,3,,1
C,web,RSA,15426909,4096,LOW,NO,YES,,RSA,10,3,,12
D,STANDALONE,RSA,2527401,0,MEDIUM,YES,YES,NO,RSA,10,3,,9
C,MIX,ECDHE,10391803,4096,MEDIUM,YES,YES,NO,RSA,10,3,NO,1
C,STANDALONE,RSA,7581083,898,LOW,,YES,,RSA,10,1,,12
D,web,ECDHE,11071681,4058,MEDIUM,YES,NO,,RSA,9,2,,1
C,STANDALONE,RSA,16221458,2257,LOW,,YES,,RSA,9,3,,1
C,MIX,RSA,4274037,0,MEDIUM,NO,YES,,RSA,10,1,NO,6
B,STANDALONE,ECDHE,11458926,788,LOW,,YES,,RSA,8,3,,12
B,MIX,ECDHE,11976474,0,HIGH,,YES,,RSA,7,3,,10
B,MIX,ECDHE,14142722,0,MEDIUM,,YES,,RSA,10,1,YES,5
B,web,ECDHE,11137424,947,MEDIUM,YES,NO,NO,RSA,8,1,,4
A,web,RSA,12140515,4096,LOW,,NO,NO,RSA,10,1,NO,4
C,web,RSA,8778384,441,HIGH,YES,NO,,RSA,10,3,,4
B,web,RSA,8068247,2430,MEDIUM,,NO,NO,RSA,7,2,,6
B,web,RSA,15658396,0,HIGH,,YES,,RSA,10,3,YES,4
A,web,DES,3689084,1800,HIGH,,NO,YES,RSA,8,2,YES,1
C,STANDALONE,RSA,4341572,2916,MEDIUM,YES,YES,NO,RSA,10,1,,5
B,STANDALONE,RSA,8546503,2144,MEDIUM,NO,YES,,RSA,10,3,NO,8
A,STANDALONE,AES,13813501,1784,HIGH,YES,NO,NO,RSA,7,3,,12
C,MIX,DES,14852324,1725,HIGH,NO,YES,YES,RSA,9,3,NO,6
B,MIX,DES,1896597,3887,MEDIUM,,YES,,RSA,10,3,,9
B,web,AES,370956,4096,MEDIUM,YES,NO,,RSA,10,3,,10
A,MIX,RSA,73706,0,HIGH,,NO,,RSA,10,2,,3
A,STANDALONE,RSA,4874019,4096,LOW,,YES,YES,RSA,8,3,NO,11
A,web,ECDHE,8968015,4096,HIGH,,YES,NO,RSA,9,2,,6
B,web,RSA,12288427,2882,HIGH,NO,YES,,RSA,9,3,YES,12
C,web,RSA,10216910,0,HIGH,YES,YES,,RSA,10,3,,4
C,web,ECDHE,11577647,713,LOW,NO,YES,,RSA,10,3,NO,12
B,STANDALONE,RSA,16357815,0,LOW,NO,YES,YES,RSA,9,3,YES,3
A,MIX,DES,11916062,1078,LOW,NO,NO,,RSA,8,2,YES,4
B,MIX,RSA,14354360,4046,LOW,YES,YES,,RSA,10,3,,8
C,MIX,RSA,8689205,4096,LOW,NO,YES,YES,RSA,9,3,,12
B,web,RSA,9209232,0,HIGH,,NO,,RSA,10,1,YES,1
C,STANDALONE,DES,545608,4096,MEDIUM,,YES,,RSA,10,1,NO,1
B,MIX,RSA,6751144,2005,MEDIUM,,NO,,RSA,8,2,NO,1
B,MIX,RSA,12897524,0,MEDIUM,YES,YES,,RSA,10,3,YES,6
A,STANDALONE,RSA,12516429,1541,MEDIUM,NO,YES,YES,RSA,10,2,NO,4
D,web,ECDHE,9385016,368,LOW,NO,NO,,RSA,10,3,,2
B,MIX,RSA,2083244,0,LOW,YES,YES,,RSA,9,3,NO,4
D,STANDALONE,ECDHE,14157368,292,MEDIUM,,NO,,RSA,10,3,,1
B,STANDALONE,ECDHE,1865663,890,LOW,YES,NO,YES,RSA,10,3,YES,1
B,STANDALONE,ECDHE,15477247,1818,HIGH,NO,YES,,RSA,8,1,,12
D,web,ECDHE,6299172,4096,HIGH,YES,NO,,RSA,8,3,,1
D,web,AES,9930389,4096,LOW,NO,NO,YES,RSA,9,3,,1
A,MIX,ECDHE,11186742,935,MEDIUM,YES,YES,,RSA,10,2,,3
B,MIX,RSA,13769155,1426,HIGH,NO,YES,NO,RSA,8,1,NO,4
C,STANDALONE,ECDHE,9711187,3597,MEDIUM,NO,YES,,RSA,10,3,NO,8
B,STANDALONE,ECDHE,8107580,2087,HIGH,,YES,,RSA,10,3,NO,10
C,web,RSA,11306264,0,MEDIUM,YES,YES,,RSA,9,3,,12
B,STANDALONE,RSA,15902542,1296,HIGH,YES,NO,,RSA,10,3,NO,6
A,MIX,RSA,2201015,0,MEDIUM,YES,YES,,RSA,10,3,NO,1
C,web,AES,9963070,34,HIGH,,YES,,RSA,8,2,,12
B,web,RSA,5482946,734,HIGH,NO,NO,NO,RSA,8,1,YES,1
C,MIX,RSA,9920611,2049,HIGH,NO,YES,NO,RSA,10,3,YES,6
B,MIX,RSA,10379700,972,LOW,,NO,,RSA,8,2,NO,4
D,STANDALONE,AES,7896569,1792,LOW,NO,YES,YES,RSA,9,1,NO,10
D,MIX,ECDHE,8167809,908,MEDIUM,,YES,,RSA,8,3,,1
A,web,DES,12779692,3772,LOW,YES,YES,YES,RSA,10,3,NO,7
C,web,AES,15265012,2901,MEDIUM,YES,NO,YES,RSA,8,3,,7
A,web,RSA,4020664,970,HIGH,,YES,,RSA,10,3,NO,7
B,web,RSA,13841859,644,HIGH,,YES,NO,RSA,10,3,,3
D,STANDALONE,RSA,15728693,621,MEDIUM,,YES,,RSA,10,3,,1
B,STANDALONE,ECDHE,14958477,0,MEDIUM,YES,YES,,RSA,9,3,,12
B,MIX,RSA,3330509,24,MEDIUM,NO,NO,,RSA,10,1,,4
B,web,RSA,6951043,572,LOW,,NO,YES,RSA,10,3,YES,4
B,STANDALONE,DES,4148008,0,MEDIUM,,NO,NO,RSA,10,3,,1
A,web,ECDHE,7152732,0,LOW,YES,NO,,RSA,10,2,,7
A,STANDALONE,ECDHE,11825485,1256,LOW,NO,YES,,RSA,10,3,,8
A,STANDALONE,RSA,4685071,4096,HIGH,,NO,,RSA,10,2,,1
C,MIX,ECDHE,2746963,1539,LOW,NO,YES,YES,RSA,10,2,NO,9
D,web,RSA,15688139,0,HIGH,,YES,,RSA,10,1,NO,1
C,STANDALONE,RSA,2771091,523,LOW,NO,NO,,RSA,7,2,YES,9
D,web,RSA,3977296,1374,HIGH,,NO,NO,RSA,10,3,,1
A,web,RSA,14832622,1047,HIGH,NO,YES,,RSA,10,2,,2
B,MIX,ECDHE,8406877,0,LOW,,YES,,RSA,10,3,YES,4
B,web,ECDHE,12851393,246,MEDIUM,YES,NO,NO,RSA,10,3,NO,1
B,STANDALONE,RSA,1198696,951,LOW,NO,NO,YES,RSA,10,2,NO,1
A,MIX,ECDHE,15681848,1889,LOW,NO,YES,,RSA,10,2,,8
B,web,RSA,11796719,1590,LOW,YES,NO,,RSA,7,3,NO,2
B,MIX,AES,3210313,875,LOW,YES,NO,YES,RSA,10,3,,2
C,MIX,ECDHE,341909,601,LOW,,YES,,RSA,9,3,YES,1
D,MIX,ECDHE,16210910,4096,MEDIUM,,NO,,RSA,10,1,,6
D,web,AES,2275905,767,LOW,,NO,,RSA,10,1,NO,1
D,web,RSA,352524,694,LOW,NO,NO,YES,RSA,10,1,NO,12
A,MIX,ECDHE,16259373,198,LOW,,YES,YES,RSA,9,2,,3
B,STANDALONE,ECDHE,14579929,4096,HIGH,,YES,YES,RSA,10,3,,7
B,MIX,ECDHE,14417925,0,LOW,YES,NO,,RSA,10,3,YES,2
D,web,RSA,14342699,574,HIGH,NO,NO,,RSA,10,1,,1
A,web,ECDHE,6635648,1116,MEDIUM,YES,YES,,RSA,10,3,NO,11
C,STANDALONE,ECDHE,12521269,1702,HIGH,,NO,,RSA,7,1,NO,7
B,web,ECDHE,1717118,903,LOW,YES,YES,,RSA,9,1,NO,1
B,MIX,ECDHE,15996531,2682,HIGH,NO,YES,,RSA,9,3,NO,12
B,web,RSA,1587379,1642,LOW,NO,YES,NO,RSA,8,1,,1
D,web,AES,9719706,1204,HIGH,NO,YES,YES,RSA,9,1,NO,5
B,STANDALONE,RSA,10270170,1846,MEDIUM,YES,YES,,RSA,10,3,NO,11
C,STANDALONE,RSA,624213,300,LOW,YES,YES,NO,RSA,10,2,YES,4
B,MIX,DES,10169851,829,MEDIUM,YES,YES,,RSA,10,2,,5
D,MIX,RSA,8129621,559,LOW,YES,YES,,RSA,10,3,YES,1
C,MIX,ECDHE,11599251,0,HIGH,YES,YES,,RSA,9,3,NO,12
D,web,DES,7055024,1202,HIGH,,NO,NO,RSA,8,3,,8
C,web,AES,1643728,832,MEDIUM,YES,YES,,RSA,9,3,NO,3
C,MIX,ECDHE,10865057,1631,HIGH,YES,YES,,RSA,10,2,,5
B,web,DES,16181302,0,HIGH,,YES,,RSA,10,3,NO,7
B,MIX,RSA,16755874,3753,HIGH,YES,NO,,RSA,8,1,NO,4
C,STANDALONE,DES,10756442,4096,HIGH,NO,YES,YES,RSA,7,3,,12
A,MIX,RSA,13100257,3875,MEDIUM,YES,YES,NO,RSA,10,3,NO,12
C,MIX,RSA,10861813,2001,LOW,NO,NO,NO,RSA,10,3,,11
D,web,DES,9420996,244,LOW,YES,NO,YES,RSA,9,3,,4
C,MIX,ECDHE,6296710,1186,MEDIUM,YES,NO,NO,RSA,7,2,,5
C,STANDALONE,ECDHE,3134411,2366,HIGH,,YES,,RSA,8,2,NO,6
D,STANDALONE,ECDHE,15668717,1950,HIGH,,YES,,RSA,8,2,,9
A,MIX,ECDHE,15169366,2347,LOW,NO,YES,,RSA,9,1,NO,8
D,MIX,ECDHE,5947484,0,LOW,,YES,,RSA,9,3,,10
A,MIX,RSA,16062930,2081,HIGH,NO,NO,,RSA,8,3,YES,1
C,MIX,AES,1055212,0,LOW,YES,NO,YES,RSA,7,2,,1
B,STANDALONE,RSA,13993298,601,LOW,NO,YES,,RSA,10,2,YES,1
C,STANDALONE,ECDHE,584817,1329,HIGH,NO,YES,,RSA,10,3,NO,3
A,STANDALONE,RSA,16249861,0,LOW,NO,YES,,RSA,10,2,,1
C,MIX,AES,14295955,1377,HIGH,YES,YES,,RSA,10,3,NO,5
D,STANDALONE,RSA,5915381,0,MEDIUM,,NO,,RSA,10,1,YES,1
C,MIX,RSA,10244656,4096,LOW,YES,YES,,RSA,7,1,YES,3
A,MIX,RSA,12949403,2191,HIGH,YES,NO,,RSA,10,1,NO,1
C,web,RSA,1879586,633,LOW,YES,NO,,RSA,10,2,,8
B,MIX,ECDHE,2554583,1003,LOW,YES,YES,YES,RSA,10,3,YES,2
B,MIX,ECDHE,8161406,292,LOW,YES,YES,,RSA,8,2,YES,3
A,MIX,AES,2394810,747,MEDIUM,YES,YES,NO,RSA,10,2,,1
A,MIX,AES,4045657,284,HIGH,,YES,,RSA,10,2,NO,2
D,MIX,DES,10608770,0,HIGH,,YES,,RSA,10,3,,1
B,STANDALONE,ECDHE,13813869,636,LOW,,YES,YES,RSA,8,3,,1
B,STANDALONE,DES,4293227,2108,HIGH,,YES,NO,RSA,9,3,NO,3
B,web,RSA,12985033,1362,HIGH,YES,NO,,RSA,9,2,NO,1
C,web,ECDHE,4096148,775,HIGH,NO,YES,NO,RSA,8,3,,8
C,STANDALONE,ECDHE,562671,959,MEDIUM,NO,YES,,RSA,10,3,YES,3
A,MIX,RSA,5314320,1216,HIGH,NO,YES,NO,RSA,10,2,,1
B,STANDALONE,RSA,8494752,0,MEDIUM,,YES,NO,RSA,10,3,,1
C,web,ECDHE,9794882,0,HIGH,YES,NO,NO,RSA,8,3,NO,12
D,STANDALONE,ECDHE,9807002,4096,HIGH,,YES,,RSA,10,3,,12
A,MIX,ECDHE,13641504,2737,HIGH,YES,YES,NO,RSA,10,3,NO,1
C,MIX,ECDHE,13219154,1303,LOW,NO,YES,,RSA,10,3,,1
A,STANDALONE,RSA,9214290,0,HIGH,,NO,NO,RSA,10,3,NO,1
B,STANDALONE,ECDHE,13171947,4096,MEDIUM,NO,YES,NO,RSA,8,3,YES,1
A,web,RSA,6556007,1400,MEDIUM,NO,YES,YES,RSA,9,1,NO,3
C,STANDALONE,ECDHE,12560434,974,LOW,NO,YES,YES,RSA,10,2,,1
C,MIX,AES,16180995,2025,LOW,NO,YES,NO,RSA,10,3,YES,1
B,web,RSA,13016698,982,LOW,NO,NO,,RSA,8,1,,1
B,web,RSA,10235746,2459,LOW,NO,YES,,RSA,10,2,,11
B,MIX,RSA,13101220,4096,MEDIUM,YES,YES,,RSA,9,2,YES,12
B,STANDALONE,ECDHE,3081303,1184,LOW,,YES,,RSA,10,3,,2
B,web,AES,10180539,930,HIGH,NO,YES,NO,RSA,10,3,,1
A,MIX,RSA,6786093,4096,LOW,,YES,,RSA,7,3,NO,2
B,MIX,ECDHE,15188339,1105,LOW,,YES,YES,RSA,8,3,,12
B,MIX,RSA,6534031,0,MEDIUM,YES,YES,,RSA,10,3,YES,2
A,STANDALONE,ECDHE,6956807,4096,MEDIUM,YES,NO,,RSA,10,1,YES,2
C,web,RSA,9327272,3844,LOW,NO,YES,YES,RSA,9,1,NO,1
C,STANDALONE,ECDHE,10646309,1102,HIGH,NO,YES,,RSA,10,3,NO,8
B,web,RSA,11732344,989,LOW,,YES,,RSA,8,3,YES,12
C,web,AES,10315623,1775,LOW,NO,NO,,RSA,8,3,,10
A,MIX,ECDHE,7922224,2826,MEDIUM,NO,YES,,RSA,8,3,,12
A,STANDALONE,ECDHE,10288886,2054,MEDIUM,YES,YES,YES,RSA,9,3,YES,1
A,MIX,ECDHE,14527428,0,MEDIUM,YES,YES,,RSA,10,2,NO,1
C,web,DES,14313636,928,MEDIUM,,YES,,RSA,9,2,,12
B,MIX,ECDHE,10600166,214,LOW,NO,NO,,RSA,8,3,NO,5
B,MIX,RSA,10872773,4096,LOW,YES,YES,,RSA,7,3,,1
B,web,ECDHE,3277435,3476,HIGH,NO,YES,NO,RSA,9,3,NO,1
C,STANDALONE,RSA,5893897,1244,LOW,NO,YES,NO,RSA,10,3,NO,12
D,STANDALONE,RSA,15851365,0,LOW,YES,YES,,RSA,10,2,,12
C,MIX,ECDHE,6014889,42,MEDIUM,YES,YES,,RSA,10,3,,2
C,web,RSA,16091757,386,MEDIUM,YES,YES,YES,RSA,10,3,,8
D,web,AES,16070155,0,MEDIUM,,YES,,RSA,10,1,NO,1
